"type";"variable";"prettyName";"year";"value"
"YEARLY MORTALITY";"Total";"HCV related";1974;0
"YEARLY MORTALITY";"Total";"Not related to HCV";1974;24
"CUMULATIVE MORTALITY";"Total";"HCV related";1974;0
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1974;41
"YLLs";"Total";"Cirrhosis";1974;3
"YLLs";"Total";"HCC";1974;0
"YLLs";"Total";"Transplant";1974;0
"YLLs";"Total";"HCV related";1974;3
"YLLs";"Total";"Not related to HCV";1974;1433
"YLDs";"Total";"HCV+ acute";1974;63
"YLDs";"Total";"HCV+ chronic";1974;98
"YLDs";"Total";"Cirrhosis";1974;2
"YLDs";"Total";"HCC";1974;0
"YLDs";"Total";"Transplant";1974;0
"YLDs";"Total";"Total";1974;163
"DALYs";"Total";"HCV+ acute";1974;63
"DALYs";"Total";"HCV+ chronic";1974;98
"DALYs";"Total";"Cirrhosis";1974;5
"DALYs";"Total";"HCC";1974;0
"DALYs";"Total";"Transplant";1974;0
"DALYs";"Total";"HCV related";1974;166
"OVERLAPPING PREVALENCE";"Total";"Alive";1975;1535
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1975;847
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1975;829
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1975;18
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1975;549
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1975;10
"DISCRETE PREVALENCE";"Total";"HCC";1975;0
"DISCRETE PREVALENCE";"Total";"Transplant";1975;0
"INCIDENCE";"Total";"HCV+ acute";1975;289
"INCIDENCE";"Total";"HCV+ chronic";1975;182
"INCIDENCE";"Total";"Cirrhosis";1975;5
"INCIDENCE";"Total";"HCC";1975;0
"INCIDENCE";"Total";"Transplant";1975;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1975;0
"YEARLY MORTALITY";"Total";"HCC";1975;0
"YEARLY MORTALITY";"Total";"Transplant";1975;0
"YEARLY MORTALITY";"Total";"HCV related";1975;0
"YEARLY MORTALITY";"Total";"Not related to HCV";1975;31
"CUMULATIVE MORTALITY";"Total";"HCV related";1975;0
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1975;72
"YLLs";"Total";"Cirrhosis";1975;8
"YLLs";"Total";"HCC";1975;1
"YLLs";"Total";"Transplant";1975;0
"YLLs";"Total";"HCV related";1975;9
"YLLs";"Total";"Not related to HCV";1975;1812
"YLDs";"Total";"HCV+ acute";1975;73
"YLDs";"Total";"HCV+ chronic";1975;139
"YLDs";"Total";"Cirrhosis";1975;4
"YLDs";"Total";"HCC";1975;0
"YLDs";"Total";"Transplant";1975;0
"YLDs";"Total";"Total";1975;217
"DALYs";"Total";"HCV+ acute";1975;73
"DALYs";"Total";"HCV+ chronic";1975;139
"DALYs";"Total";"Cirrhosis";1975;12
"DALYs";"Total";"HCC";1975;1
"DALYs";"Total";"Transplant";1975;0
"DALYs";"Total";"HCV related";1975;226
"OVERLAPPING PREVALENCE";"Total";"Alive";1976;1929
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1976;1076
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1976;1049
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1976;27
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1976;732
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1976;17
"DISCRETE PREVALENCE";"Total";"HCC";1976;0
"DISCRETE PREVALENCE";"Total";"Transplant";1976;0
"INCIDENCE";"Total";"HCV+ acute";1976;328
"INCIDENCE";"Total";"HCV+ chronic";1976;212
"INCIDENCE";"Total";"Cirrhosis";1976;8
"INCIDENCE";"Total";"HCC";1976;0
"INCIDENCE";"Total";"Transplant";1976;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1976;0
"YEARLY MORTALITY";"Total";"HCC";1976;0
"YEARLY MORTALITY";"Total";"Transplant";1976;0
"YEARLY MORTALITY";"Total";"HCV related";1976;0
"YEARLY MORTALITY";"Total";"Not related to HCV";1976;37
"CUMULATIVE MORTALITY";"Total";"HCV related";1976;1
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1976;109
"YLLs";"Total";"Cirrhosis";1976;16
"YLLs";"Total";"HCC";1976;3
"YLLs";"Total";"Transplant";1976;0
"YLLs";"Total";"HCV related";1976;19
"YLLs";"Total";"Not related to HCV";1976;2192
"YLDs";"Total";"HCV+ acute";1976;83
"YLDs";"Total";"HCV+ chronic";1976;186
"YLDs";"Total";"Cirrhosis";1976;6
"YLDs";"Total";"HCC";1976;0
"YLDs";"Total";"Transplant";1976;0
"YLDs";"Total";"Total";1976;276
"DALYs";"Total";"HCV+ acute";1976;83
"DALYs";"Total";"HCV+ chronic";1976;186
"DALYs";"Total";"Cirrhosis";1976;22
"DALYs";"Total";"HCC";1976;3
"DALYs";"Total";"Transplant";1976;0
"DALYs";"Total";"HCV related";1976;295
"OVERLAPPING PREVALENCE";"Total";"Alive";1977;2350
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1977;1322
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1977;1286
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1977;36
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1977;934
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1977;26
"DISCRETE PREVALENCE";"Total";"HCC";1977;0
"DISCRETE PREVALENCE";"Total";"Transplant";1977;0
"INCIDENCE";"Total";"HCV+ acute";1977;364
"INCIDENCE";"Total";"HCV+ chronic";1977;241
"INCIDENCE";"Total";"Cirrhosis";1977;10
"INCIDENCE";"Total";"HCC";1977;0
"INCIDENCE";"Total";"Transplant";1977;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1977;0
"YEARLY MORTALITY";"Total";"HCC";1977;0
"YEARLY MORTALITY";"Total";"Transplant";1977;0
"YEARLY MORTALITY";"Total";"HCV related";1977;1
"YEARLY MORTALITY";"Total";"Not related to HCV";1977;44
"CUMULATIVE MORTALITY";"Total";"HCV related";1977;1
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1977;153
"YLLs";"Total";"Cirrhosis";1977;26
"YLLs";"Total";"HCC";1977;7
"YLLs";"Total";"Transplant";1977;0
"YLLs";"Total";"HCV related";1977;32
"YLLs";"Total";"Not related to HCV";1977;2576
"YLDs";"Total";"HCV+ acute";1977;92
"YLDs";"Total";"HCV+ chronic";1977;237
"YLDs";"Total";"Cirrhosis";1977;10
"YLDs";"Total";"HCC";1977;0
"YLDs";"Total";"Transplant";1977;0
"YLDs";"Total";"Total";1977;340
"DALYs";"Total";"HCV+ acute";1977;92
"DALYs";"Total";"HCV+ chronic";1977;237
"DALYs";"Total";"Cirrhosis";1977;36
"DALYs";"Total";"HCC";1977;7
"DALYs";"Total";"Transplant";1977;0
"DALYs";"Total";"HCV related";1977;372
"OVERLAPPING PREVALENCE";"Total";"Alive";1978;2798
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1978;1581
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1978;1535
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1978;47
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1978;1152
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1978;37
"DISCRETE PREVALENCE";"Total";"HCC";1978;1
"DISCRETE PREVALENCE";"Total";"Transplant";1978;0
"INCIDENCE";"Total";"HCV+ acute";1978;396
"INCIDENCE";"Total";"HCV+ chronic";1978;267
"INCIDENCE";"Total";"Cirrhosis";1978;13
"INCIDENCE";"Total";"HCC";1978;0
"INCIDENCE";"Total";"Transplant";1978;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1978;1
"YEARLY MORTALITY";"Total";"HCC";1978;0
"YEARLY MORTALITY";"Total";"Transplant";1978;0
"YEARLY MORTALITY";"Total";"HCV related";1978;1
"YEARLY MORTALITY";"Total";"Not related to HCV";1978;51
"CUMULATIVE MORTALITY";"Total";"HCV related";1978;2
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1978;204
"YLLs";"Total";"Cirrhosis";1978;37
"YLLs";"Total";"HCC";1978;12
"YLLs";"Total";"Transplant";1978;0
"YLLs";"Total";"HCV related";1978;49
"YLLs";"Total";"Not related to HCV";1978;2963
"YLDs";"Total";"HCV+ acute";1978;101
"YLDs";"Total";"HCV+ chronic";1978;293
"YLDs";"Total";"Cirrhosis";1978;14
"YLDs";"Total";"HCC";1978;0
"YLDs";"Total";"Transplant";1978;0
"YLDs";"Total";"Total";1978;408
"DALYs";"Total";"HCV+ acute";1978;101
"DALYs";"Total";"HCV+ chronic";1978;293
"DALYs";"Total";"Cirrhosis";1978;51
"DALYs";"Total";"HCC";1978;12
"DALYs";"Total";"Transplant";1978;0
"DALYs";"Total";"HCV related";1978;457
"OVERLAPPING PREVALENCE";"Total";"Alive";1979;3273
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1979;1852
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1979;1793
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1979;59
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1979;1381
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1979;51
"DISCRETE PREVALENCE";"Total";"HCC";1979;1
"DISCRETE PREVALENCE";"Total";"Transplant";1979;0
"INCIDENCE";"Total";"HCV+ acute";1979;426
"INCIDENCE";"Total";"HCV+ chronic";1979;291
"INCIDENCE";"Total";"Cirrhosis";1979;16
"INCIDENCE";"Total";"HCC";1979;1
"INCIDENCE";"Total";"Transplant";1979;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1979;1
"YEARLY MORTALITY";"Total";"HCC";1979;0
"YEARLY MORTALITY";"Total";"Transplant";1979;0
"YEARLY MORTALITY";"Total";"HCV related";1979;1
"YEARLY MORTALITY";"Total";"Not related to HCV";1979;58
"CUMULATIVE MORTALITY";"Total";"HCV related";1979;3
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1979;262
"YLLs";"Total";"Cirrhosis";1979;52
"YLLs";"Total";"HCC";1979;18
"YLLs";"Total";"Transplant";1979;0
"YLLs";"Total";"HCV related";1979;70
"YLLs";"Total";"Not related to HCV";1979;3354
"YLDs";"Total";"HCV+ acute";1979;108
"YLDs";"Total";"HCV+ chronic";1979;351
"YLDs";"Total";"Cirrhosis";1979;19
"YLDs";"Total";"HCC";1979;1
"YLDs";"Total";"Transplant";1979;0
"YLDs";"Total";"Total";1979;478
"DALYs";"Total";"HCV+ acute";1979;108
"DALYs";"Total";"HCV+ chronic";1979;351
"DALYs";"Total";"Cirrhosis";1979;71
"DALYs";"Total";"HCC";1979;19
"DALYs";"Total";"Transplant";1979;0
"DALYs";"Total";"HCV related";1979;548
"OVERLAPPING PREVALENCE";"Total";"Alive";1980;3775
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1980;2129
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1980;2058
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1980;71
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1980;1620
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1980;67
"DISCRETE PREVALENCE";"Total";"HCC";1980;1
"DISCRETE PREVALENCE";"Total";"Transplant";1980;0
"INCIDENCE";"Total";"HCV+ acute";1980;452
"INCIDENCE";"Total";"HCV+ chronic";1980;312
"INCIDENCE";"Total";"Cirrhosis";1980;19
"INCIDENCE";"Total";"HCC";1980;1
"INCIDENCE";"Total";"Transplant";1980;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1980;1
"YEARLY MORTALITY";"Total";"HCC";1980;0
"YEARLY MORTALITY";"Total";"Transplant";1980;0
"YEARLY MORTALITY";"Total";"HCV related";1980;2
"YEARLY MORTALITY";"Total";"Not related to HCV";1980;65
"CUMULATIVE MORTALITY";"Total";"HCV related";1980;5
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1980;328
"YLLs";"Total";"Cirrhosis";1980;68
"YLLs";"Total";"HCC";1980;27
"YLLs";"Total";"Transplant";1980;0
"YLLs";"Total";"HCV related";1980;95
"YLLs";"Total";"Not related to HCV";1980;3749
"YLDs";"Total";"HCV+ acute";1980;115
"YLDs";"Total";"HCV+ chronic";1980;412
"YLDs";"Total";"Cirrhosis";1980;24
"YLDs";"Total";"HCC";1980;1
"YLDs";"Total";"Transplant";1980;0
"YLDs";"Total";"Total";1980;551
"DALYs";"Total";"HCV+ acute";1980;115
"DALYs";"Total";"HCV+ chronic";1980;412
"DALYs";"Total";"Cirrhosis";1980;92
"DALYs";"Total";"HCC";1980;28
"DALYs";"Total";"Transplant";1980;0
"DALYs";"Total";"HCV related";1980;646
"OVERLAPPING PREVALENCE";"Total";"Alive";1981;4303
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1981;2411
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1981;2326
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1981;85
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1981;1865
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1981;85
"DISCRETE PREVALENCE";"Total";"HCC";1981;2
"DISCRETE PREVALENCE";"Total";"Transplant";1981;0
"INCIDENCE";"Total";"HCV+ acute";1981;475
"INCIDENCE";"Total";"HCV+ chronic";1981;331
"INCIDENCE";"Total";"Cirrhosis";1981;22
"INCIDENCE";"Total";"HCC";1981;1
"INCIDENCE";"Total";"Transplant";1981;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1981;2
"YEARLY MORTALITY";"Total";"HCC";1981;1
"YEARLY MORTALITY";"Total";"Transplant";1981;0
"YEARLY MORTALITY";"Total";"HCV related";1981;2
"YEARLY MORTALITY";"Total";"Not related to HCV";1981;73
"CUMULATIVE MORTALITY";"Total";"HCV related";1981;7
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1981;401
"YLLs";"Total";"Cirrhosis";1981;86
"YLLs";"Total";"HCC";1981;37
"YLLs";"Total";"Transplant";1981;0
"YLLs";"Total";"HCV related";1981;123
"YLLs";"Total";"Not related to HCV";1981;4150
"YLDs";"Total";"HCV+ acute";1981;121
"YLDs";"Total";"HCV+ chronic";1981;474
"YLDs";"Total";"Cirrhosis";1981;31
"YLDs";"Total";"HCC";1981;1
"YLDs";"Total";"Transplant";1981;0
"YLDs";"Total";"Total";1981;626
"DALYs";"Total";"HCV+ acute";1981;121
"DALYs";"Total";"HCV+ chronic";1981;474
"DALYs";"Total";"Cirrhosis";1981;117
"DALYs";"Total";"HCC";1981;38
"DALYs";"Total";"Transplant";1981;0
"DALYs";"Total";"HCV related";1981;749
"OVERLAPPING PREVALENCE";"Total";"Alive";1982;4768
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1982;2668
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1982;2570
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1982;99
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1982;2114
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1982;106
"DISCRETE PREVALENCE";"Total";"HCC";1982;2
"DISCRETE PREVALENCE";"Total";"Transplant";1982;0
"INCIDENCE";"Total";"HCV+ acute";1982;468
"INCIDENCE";"Total";"HCV+ chronic";1982;348
"INCIDENCE";"Total";"Cirrhosis";1982;26
"INCIDENCE";"Total";"HCC";1982;1
"INCIDENCE";"Total";"Transplant";1982;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1982;2
"YEARLY MORTALITY";"Total";"HCC";1982;1
"YEARLY MORTALITY";"Total";"Transplant";1982;0
"YEARLY MORTALITY";"Total";"HCV related";1982;3
"YEARLY MORTALITY";"Total";"Not related to HCV";1982;79
"CUMULATIVE MORTALITY";"Total";"HCV related";1982;10
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1982;479
"YLLs";"Total";"Cirrhosis";1982;106
"YLLs";"Total";"HCC";1982;49
"YLLs";"Total";"Transplant";1982;1
"YLLs";"Total";"HCV related";1982;155
"YLLs";"Total";"Not related to HCV";1982;4429
"YLDs";"Total";"HCV+ acute";1982;119
"YLDs";"Total";"HCV+ chronic";1982;537
"YLDs";"Total";"Cirrhosis";1982;38
"YLDs";"Total";"HCC";1982;1
"YLDs";"Total";"Transplant";1982;0
"YLDs";"Total";"Total";1982;695
"DALYs";"Total";"HCV+ acute";1982;119
"DALYs";"Total";"HCV+ chronic";1982;537
"DALYs";"Total";"Cirrhosis";1982;144
"DALYs";"Total";"HCC";1982;50
"DALYs";"Total";"Transplant";1982;1
"DALYs";"Total";"HCV related";1982;850
"OVERLAPPING PREVALENCE";"Total";"Alive";1983;5222
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1983;2912
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1983;2799
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1983;113
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1983;2344
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1983;129
"DISCRETE PREVALENCE";"Total";"HCC";1983;3
"DISCRETE PREVALENCE";"Total";"Transplant";1983;0
"INCIDENCE";"Total";"HCV+ acute";1983;465
"INCIDENCE";"Total";"HCV+ chronic";1983;343
"INCIDENCE";"Total";"Cirrhosis";1983;29
"INCIDENCE";"Total";"HCC";1983;2
"INCIDENCE";"Total";"Transplant";1983;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1983;2
"YEARLY MORTALITY";"Total";"HCC";1983;1
"YEARLY MORTALITY";"Total";"Transplant";1983;0
"YEARLY MORTALITY";"Total";"HCV related";1983;4
"YEARLY MORTALITY";"Total";"Not related to HCV";1983;84
"CUMULATIVE MORTALITY";"Total";"HCV related";1983;14
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1983;563
"YLLs";"Total";"Cirrhosis";1983;128
"YLLs";"Total";"HCC";1983;62
"YLLs";"Total";"Transplant";1983;1
"YLLs";"Total";"HCV related";1983;191
"YLLs";"Total";"Not related to HCV";1983;4676
"YLDs";"Total";"HCV+ acute";1983;118
"YLDs";"Total";"HCV+ chronic";1983;595
"YLDs";"Total";"Cirrhosis";1983;46
"YLDs";"Total";"HCC";1983;2
"YLDs";"Total";"Transplant";1983;0
"YLDs";"Total";"Total";1983;761
"DALYs";"Total";"HCV+ acute";1983;118
"DALYs";"Total";"HCV+ chronic";1983;595
"DALYs";"Total";"Cirrhosis";1983;174
"DALYs";"Total";"HCC";1983;64
"DALYs";"Total";"Transplant";1983;1
"DALYs";"Total";"HCV related";1983;952
"OVERLAPPING PREVALENCE";"Total";"Alive";1984;5786
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1984;3170
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1984;3042
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1984;127
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1984;2559
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1984;155
"DISCRETE PREVALENCE";"Total";"HCC";1984;3
"DISCRETE PREVALENCE";"Total";"Transplant";1984;0
"INCIDENCE";"Total";"HCV+ acute";1984;489
"INCIDENCE";"Total";"HCV+ chronic";1984;341
"INCIDENCE";"Total";"Cirrhosis";1984;32
"INCIDENCE";"Total";"HCC";1984;2
"INCIDENCE";"Total";"Transplant";1984;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1984;3
"YEARLY MORTALITY";"Total";"HCC";1984;2
"YEARLY MORTALITY";"Total";"Transplant";1984;0
"YEARLY MORTALITY";"Total";"HCV related";1984;4
"YEARLY MORTALITY";"Total";"Not related to HCV";1984;91
"CUMULATIVE MORTALITY";"Total";"HCV related";1984;18
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1984;654
"YLLs";"Total";"Cirrhosis";1984;151
"YLLs";"Total";"HCC";1984;77
"YLLs";"Total";"Transplant";1984;1
"YLLs";"Total";"HCV related";1984;230
"YLLs";"Total";"Not related to HCV";1984;5065
"YLDs";"Total";"HCV+ acute";1984;124
"YLDs";"Total";"HCV+ chronic";1984;650
"YLDs";"Total";"Cirrhosis";1984;54
"YLDs";"Total";"HCC";1984;2
"YLDs";"Total";"Transplant";1984;0
"YLDs";"Total";"Total";1984;831
"DALYs";"Total";"HCV+ acute";1984;124
"DALYs";"Total";"HCV+ chronic";1984;650
"DALYs";"Total";"Cirrhosis";1984;205
"DALYs";"Total";"HCC";1984;79
"DALYs";"Total";"Transplant";1984;1
"DALYs";"Total";"HCV related";1984;1061
"OVERLAPPING PREVALENCE";"Total";"Alive";1985;6409
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1985;3426
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1985;3285
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1985;141
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1985;2780
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1985;182
"DISCRETE PREVALENCE";"Total";"HCC";1985;4
"DISCRETE PREVALENCE";"Total";"Transplant";1985;0
"INCIDENCE";"Total";"HCV+ acute";1985;505
"INCIDENCE";"Total";"HCV+ chronic";1985;358
"INCIDENCE";"Total";"Cirrhosis";1985;35
"INCIDENCE";"Total";"HCC";1985;3
"INCIDENCE";"Total";"Transplant";1985;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1985;3
"YEARLY MORTALITY";"Total";"HCC";1985;2
"YEARLY MORTALITY";"Total";"Transplant";1985;0
"YEARLY MORTALITY";"Total";"HCV related";1985;5
"YEARLY MORTALITY";"Total";"Not related to HCV";1985;100
"CUMULATIVE MORTALITY";"Total";"HCV related";1985;24
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1985;753
"YLLs";"Total";"Cirrhosis";1985;175
"YLLs";"Total";"HCC";1985;94
"YLLs";"Total";"Transplant";1985;1
"YLLs";"Total";"HCV related";1985;271
"YLLs";"Total";"Not related to HCV";1985;5508
"YLDs";"Total";"HCV+ acute";1985;128
"YLDs";"Total";"HCV+ chronic";1985;706
"YLDs";"Total";"Cirrhosis";1985;63
"YLDs";"Total";"HCC";1985;3
"YLDs";"Total";"Transplant";1985;0
"YLDs";"Total";"Total";1985;900
"DALYs";"Total";"HCV+ acute";1985;128
"DALYs";"Total";"HCV+ chronic";1985;706
"DALYs";"Total";"Cirrhosis";1985;238
"DALYs";"Total";"HCC";1985;97
"DALYs";"Total";"Transplant";1985;1
"DALYs";"Total";"HCV related";1985;1171
"OVERLAPPING PREVALENCE";"Total";"Alive";1986;6952
"OVERLAPPING PREVALENCE";"Total";"HCV+ (incl. treatment)";1986;3649
"OVERLAPPING PREVALENCE";"Total";"HCV+ (excl. treatment)";1986;3495
"OVERLAPPING PREVALENCE";"Total";"HCV treatment (excl. transplant)";1986;154
"DISCRETE PREVALENCE";"Total";"HCV+ chronic";1986;3003
"DISCRETE PREVALENCE";"Total";"Cirrhosis";1986;210
"DISCRETE PREVALENCE";"Total";"HCC";1986;5
"DISCRETE PREVALENCE";"Total";"Transplant";1986;0
"INCIDENCE";"Total";"HCV+ acute";1986;487
"INCIDENCE";"Total";"HCV+ chronic";1986;370
"INCIDENCE";"Total";"Cirrhosis";1986;38
"INCIDENCE";"Total";"HCC";1986;3
"INCIDENCE";"Total";"Transplant";1986;0
"YEARLY MORTALITY";"Total";"Cirrhosis";1986;4
"YEARLY MORTALITY";"Total";"HCC";1986;2
"YEARLY MORTALITY";"Total";"Transplant";1986;0
"YEARLY MORTALITY";"Total";"HCV related";1986;6
"YEARLY MORTALITY";"Total";"Not related to HCV";1986;106
"CUMULATIVE MORTALITY";"Total";"HCV related";1986;30
"CUMULATIVE MORTALITY";"Total";"Not related to HCV";1986;859
"YLLs";"Total";"Cirrhosis";1986;200
"YLLs";"Total";"HCC";1986;112
"YLLs";"Total";"Transplant";1986;1
"YLLs";"Total";"HCV related";1986;313
"YLLs";"Total";"Not related to HCV";1986;5804
"YLDs";"Total";"HCV+ acute";1986;124
"YLDs";"Total";"HCV+ chronic";1986;763
"YLDs";"Total";"Cirrhosis";1986;72
"YLDs";"Total";"HCC";1986;3
"YLDs";"Total";"Transplant";1986;0
"YLDs";"Total";"Total";1986;962
"DALYs";"Total";"HCV+ acute";1986;124
"DALYs";"Total";"HCV+ chronic";1986;763
